::ffff:127.0.0.1 - - [11/Nov/2025 14:45:01] "GET /index.html HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /hi-dashboard.html?id=0da24379-49af-44de-ab5b-fc0dac16e728&vscodeBrowserReqId=1762927972420 HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /lib/hifeed/index.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /lib/HiDash.cta.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /lib/HiDash.share.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /lib/HiDash.boot.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /lib/HiDash.feedback.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /lib/RealUserCount.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /styles/hi-dashboard.css HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /lib/HiWavesRealtime.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /hi-muscle.html HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /lib/HiGoldStandardModal.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /hi-island-NEW.html HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /lib/flags/flags.json HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /ui/stats/initHiStats.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /lib/stats/GoldStandardTracker.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:52] "GET /lib/stats/HiOSEnhancementLayer.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:12:54] "GET /sw.js HTTP/1.1" 304 -
::1 - - [12/Nov/2025 01:13:24] "GET /sw.js HTTP/1.1" 304 -
::1 - - [12/Nov/2025 01:13:35] "GET /hi-dashboard.html?id=0da24379-49af-44de-ab5b-fc0dac16e728&vscodeBrowserReqId=1762928015586 HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:37] "GET /sw.js HTTP/1.1" 304 -
::1 - - [12/Nov/2025 01:13:50] "GET /hi-dashboard.html HTTP/1.1" 200 -
